cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,1604,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,3092,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,3403,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,3982,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,4299,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,4131,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,4132,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,4329,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,4938,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,4780,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,5873,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,7326,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,6471,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,6983,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,7003,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2012,6708,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,6704,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,6804,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,6132,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,6402,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,5310,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2018,4931,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2019,5292,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,5076,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2021,5823,Accidentes
06,Colima,0,Estatal,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2022,6110,Accidentes
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,1997,38,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,1998,32,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,1999,37,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2000,57,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2001,48,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2002,31,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2003,41,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2004,65,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2005,45,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2006,53,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2007,47,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2008,50,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2009,32,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2010,46,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2011,220,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2012,50,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2013,43,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2014,46,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2015,47,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2016,39,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2017,32,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2018,25,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2019,15,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2020,31,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2021,45,Víctimas
06,Colima,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2022,34,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,1997,799,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,1998,1555,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,1999,1392,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2000,1568,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2001,1874,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2002,1409,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2003,1493,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2004,1368,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2005,1433,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2006,1477,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2007,1778,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2008,2082,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2009,2010,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2010,2048,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2011,2616,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2012,3277,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2013,3128,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2014,2964,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2015,2249,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2016,2261,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2017,1827,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2018,1787,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2019,1238,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2020,1208,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2021,1489,Víctimas
06,Colima,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2022,1842,Víctimas
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,33,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,93,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,71,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,85,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,83,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,125,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,100,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,88,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,72,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,109,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,113,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,87,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,70,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,113,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,88,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2012,116,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,128,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,129,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,94,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,87,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,113,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2018,91,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2019,107,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,104,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2021,127,Accidentes
06,Colima,001,Armería,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2022,166,Accidentes
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,1997,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,1998,5,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,1999,5,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2000,2,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2001,2,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2002,0,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2003,3,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2004,3,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2005,3,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2006,4,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2007,3,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2008,2,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2009,4,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2010,4,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2011,20,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2012,4,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2013,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2015,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2016,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2017,2,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2019,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2020,1,Víctimas
06,Colima,001,Armería,6200009438,Víctimas muertas en los accidentes de tránsito,2022,3,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,1997,29,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,1998,49,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,1999,27,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2000,95,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2001,57,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2002,59,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2003,43,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2004,60,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2005,48,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2006,31,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2007,29,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2008,36,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2009,46,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2010,53,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2011,39,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2012,63,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2013,85,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2014,72,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2015,30,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2016,46,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2017,41,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2018,39,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2019,25,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2020,26,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2021,21,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2022,45,Víctimas
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,784,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,1859,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,1864,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,2178,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,2224,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,2068,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,1952,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,2418,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,2659,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,2730,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,3164,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,3053,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,3002,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,2773,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,3030,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2012,3018,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,2928,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,2643,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,1975,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,2228,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,1335,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2018,891,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2019,1189,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,1218,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2021,1575,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2022,1505,Accidentes
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,1997,14,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,1998,6,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,1999,7,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2000,26,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2001,5,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2002,10,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2003,10,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2004,6,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2005,7,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2006,13,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2007,6,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2008,10,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2009,8,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2010,7,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2011,4,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2012,8,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2013,10,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2014,3,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2015,6,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2016,3,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2017,2,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2019,1,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2020,2,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2021,1,Víctimas
06,Colima,002,Colima,6200009438,Víctimas muertas en los accidentes de tránsito,2022,1,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,1997,418,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,1998,1030,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,1999,793,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2000,780,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2001,1072,Víctimas
06,Colima,002,Colima,6200009439,Víctimas heridas en los accidentes de tránsito,2002,624,Víctimas
